rank,company_name,sector,risk_score,risk_tier,total_esg_risk_score,controversy_score,source,gw_proxy_score,comp_proxy,comp_linguistic,comp_divergence,comp_credibility_inv,comp_controversy_ratio
36,NISOURCE INC.,Utilities,52.66,Moderate Risk,26.0,3.0,SP500,3,60.0,54.111573829100145,56.769126736902734,50.0,30.18610423119831
37,FIRSTENERGY CORP.,Utilities,52.63,Moderate Risk,25.6,3.0,SP500,3,60.0,52.60181446753458,57.46369094250021,50.0,30.808971787072
38,"TESLA, INC.",Consumer Cyclical,52.61,Moderate Risk,25.2,3.0,SP500,3,60.0,51.13102874802006,58.15825514809768,50.0,31.45161291614018
39,NETFLIX INC,Communication Services,52.45,Moderate Risk,16.4,2.0,SP500,3,60.0,53.72443185233167,53.47569529565995,50.0,32.45476003586235
40,WEYERHAEUSER COMPANY,Real Estate,52.42,Moderate Risk,16.7,2.0,SP500,3,60.0,54.79293029256311,52.95477214146185,50.0,31.697894538181107
41,"BEST BUY COMPANY, INC.",Consumer Cyclical,52.38,Moderate Risk,15.9,2.0,SP500,3,60.0,51.054695848754825,54.34390055265679,50.0,33.77967133679485
42,TRACTOR SUPPLY CO,Consumer Cyclical,52.27,Moderate Risk,16.1,2.0,SP500,3,60.0,51.243524608856085,53.996618449858055,50.0,33.239831701141526
43,THE HERSHEY COMPANY,Consumer Defensive,52.23,Moderate Risk,26.0,3.0,SP500,3,60.0,51.26876310722103,56.769126736902734,50.0,30.18610423119831
44,EDISON INTERNATIONAL,Utilities,52.23,Moderate Risk,27.5,3.0,SP500,3,60.0,55.995116259560376,54.16451096591223,50.0,28.01173021790785
45,LOEWS CORPORATION,Financial Services,52.21,Moderate Risk,16.4,2.0,SP500,3,60.0,52.108453534081455,53.47569529565995,50.0,32.45476003586235
